id,left,top,right,bottom,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,lon,lat
2534,1126112.527900000102818,1688197.949100000085309,1126612.527900000102818,1687697.949100000085309,"26",Busan,何魂堡开矫,128.8877507000,35.1788866900
2535,1126112.527900000102818,1687697.949100000085309,1126612.527900000102818,1687197.949100000085309,"26",Busan,何魂堡开矫,128.8876741000,35.1743794200
2536,1126112.527900000102818,1687197.949100000085309,1126612.527900000102818,1686697.949100000085309,"26",Busan,何魂堡开矫,128.8875975000,35.1698721600
2537,1126112.527900000102818,1686697.949100000085309,1126612.527900000102818,1686197.949100000085309,"26",Busan,何魂堡开矫,128.8875209000,35.1653648900
2538,1126112.527900000102818,1686197.949100000085309,1126612.527900000102818,1685697.949100000085309,"26",Busan,何魂堡开矫,128.8874444000,35.1608576100
2539,1126112.527900000102818,1685697.949100000085309,1126612.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8873678000,35.1563503400
2540,1126112.527900000102818,1685197.949100000085309,1126612.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8872913000,35.1518430600
2541,1126112.527900000102818,1684697.949100000085309,1126612.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8872148000,35.1473357700
2542,1126112.527900000102818,1684197.949100000085309,1126612.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8871383000,35.1428284800
2543,1126112.527900000102818,1683697.949100000085309,1126612.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8870618000,35.1383211900
2544,1126112.527900000102818,1683197.949100000085309,1126612.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8869854000,35.1338139000
2545,1126112.527900000102818,1682697.949100000085309,1126612.527900000102818,1682197.949100000085309,"26",Busan,何魂堡开矫,128.8869089000,35.1293066000
2546,1126112.527900000102818,1682197.949100000085309,1126612.527900000102818,1681697.949100000085309,"26",Busan,何魂堡开矫,128.8868325000,35.1247993000
2547,1126112.527900000102818,1681697.949100000085309,1126612.527900000102818,1681197.949100000085309,"26",Busan,何魂堡开矫,128.8867561000,35.1202919900
2548,1126112.527900000102818,1681197.949100000085309,1126612.527900000102818,1680697.949100000085309,"26",Busan,何魂堡开矫,128.8866797000,35.1157846900
2549,1126112.527900000102818,1680697.949100000085309,1126612.527900000102818,1680197.949100000085309,"26",Busan,何魂堡开矫,128.8866033000,35.1112773700
2550,1126112.527900000102818,1680197.949100000085309,1126612.527900000102818,1679697.949100000085309,"26",Busan,何魂堡开矫,128.8865232000,35.1067728200
2551,1126112.527900000102818,1679697.949100000085309,1126612.527900000102818,1679197.949100000085309,"26",Busan,何魂堡开矫,128.8863371000,35.1022877300
2552,1126112.527900000102818,1679197.949100000085309,1126612.527900000102818,1678697.949100000085309,"26",Busan,何魂堡开矫,128.8860889000,35.0977859900
2553,1126112.527900000102818,1678697.949100000085309,1126612.527900000102818,1678197.949100000085309,"26",Busan,何魂堡开矫,128.8858384000,35.0932815600
2554,1126112.527900000102818,1678197.949100000085309,1126612.527900000102818,1677697.949100000085309,"26",Busan,何魂堡开矫,128.8853584000,35.0890268300
2555,1126112.527900000102818,1677697.949100000085309,1126612.527900000102818,1677197.949100000085309,"26",Busan,何魂堡开矫,128.8841893000,35.0852815200
2556,1126112.527900000102818,1677197.949100000085309,1126612.527900000102818,1676697.949100000085309,"26",Busan,何魂堡开矫,128.8836679000,35.0800695000
2558,1126112.527900000102818,1676197.949100000085309,1126612.527900000102818,1675697.949100000085309,"26",Busan,何魂堡开矫,128.8851296000,35.0685282200
2559,1126112.527900000102818,1675697.949100000085309,1126612.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8849184000,35.0661754100
2560,1126112.527900000102818,1675197.949100000085309,1126612.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8874018000,35.0626088800
2639,1126612.527900000102818,1692197.949100000085309,1127112.527900000102818,1691697.949100000085309,"26",Busan,何魂堡开矫,128.8933566000,35.2132411900
2640,1126612.527900000102818,1691697.949100000085309,1127112.527900000102818,1691197.949100000085309,"26",Busan,何魂堡开矫,128.8937793000,35.2103743200
2641,1126612.527900000102818,1691197.949100000085309,1127112.527900000102818,1690697.949100000085309,"26",Busan,何魂堡开矫,128.8937023000,35.2058670900
2642,1126612.527900000102818,1690697.949100000085309,1127112.527900000102818,1690197.949100000085309,"26",Busan,何魂堡开矫,128.8936253000,35.2013598600
2643,1126612.527900000102818,1690197.949100000085309,1127112.527900000102818,1689697.949100000085309,"26",Busan,何魂堡开矫,128.8935483000,35.1968526300
2644,1126612.527900000102818,1689697.949100000085309,1127112.527900000102818,1689197.949100000085309,"26",Busan,何魂堡开矫,128.8934713000,35.1923453900
2645,1126612.527900000102818,1689197.949100000085309,1127112.527900000102818,1688697.949100000085309,"26",Busan,何魂堡开矫,128.8933943000,35.1878381500
2646,1126612.527900000102818,1688697.949100000085309,1127112.527900000102818,1688197.949100000085309,"26",Busan,何魂堡开矫,128.8933174000,35.1833309000
2647,1126612.527900000102818,1688197.949100000085309,1127112.527900000102818,1687697.949100000085309,"26",Busan,何魂堡开矫,128.8932404000,35.1788236500
2648,1126612.527900000102818,1687697.949100000085309,1127112.527900000102818,1687197.949100000085309,"26",Busan,何魂堡开矫,128.8931635000,35.1743164000
2649,1126612.527900000102818,1687197.949100000085309,1127112.527900000102818,1686697.949100000085309,"26",Busan,何魂堡开矫,128.8930866000,35.1698091400
2650,1126612.527900000102818,1686697.949100000085309,1127112.527900000102818,1686197.949100000085309,"26",Busan,何魂堡开矫,128.8930097000,35.1653018900
2651,1126612.527900000102818,1686197.949100000085309,1127112.527900000102818,1685697.949100000085309,"26",Busan,何魂堡开矫,128.8929329000,35.1607946200
2652,1126612.527900000102818,1685697.949100000085309,1127112.527900000102818,1685197.949100000085309,"26",Busan,何魂堡开矫,128.8928560000,35.1562873600
2653,1126612.527900000102818,1685197.949100000085309,1127112.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8927792000,35.1517800900
2654,1126612.527900000102818,1684697.949100000085309,1127112.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8927024000,35.1472728100
2655,1126612.527900000102818,1684197.949100000085309,1127112.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8926256000,35.1427655400
2656,1126612.527900000102818,1683697.949100000085309,1127112.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8925488000,35.1382582500
2657,1126612.527900000102818,1683197.949100000085309,1127112.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8924720000,35.1337509700
2658,1126612.527900000102818,1682697.949100000085309,1127112.527900000102818,1682197.949100000085309,"26",Busan,何魂堡开矫,128.8923953000,35.1292436800
2659,1126612.527900000102818,1682197.949100000085309,1127112.527900000102818,1681697.949100000085309,"26",Busan,何魂堡开矫,128.8923186000,35.1247363900
2660,1126612.527900000102818,1681697.949100000085309,1127112.527900000102818,1681197.949100000085309,"26",Busan,何魂堡开矫,128.8922419000,35.1202291000
2661,1126612.527900000102818,1681197.949100000085309,1127112.527900000102818,1680697.949100000085309,"26",Busan,何魂堡开矫,128.8919799000,35.1158195100
2662,1126612.527900000102818,1680697.949100000085309,1127112.527900000102818,1680197.949100000085309,"26",Busan,何魂堡开矫,128.8910462000,35.1117122100
2663,1126612.527900000102818,1680197.949100000085309,1127112.527900000102818,1679697.949100000085309,"26",Busan,何魂堡开矫,128.8894701000,35.1080379500
2672,1126612.527900000102818,1675697.949100000085309,1127112.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8885705000,35.0640008800
2673,1126612.527900000102818,1675197.949100000085309,1127112.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8908185000,35.0607206700
2674,1126612.527900000102818,1674697.949100000085309,1127112.527900000102818,1674197.949100000085309,"26",Busan,何魂堡开矫,128.8928265000,35.0590559000
2752,1127112.527900000102818,1692197.949100000085309,1127612.527900000102818,1691697.949100000085309,"26",Busan,何魂堡开矫,128.8998571000,35.2132853300
2753,1127112.527900000102818,1691697.949100000085309,1127612.527900000102818,1691197.949100000085309,"26",Busan,何魂堡开矫,128.8992711000,35.2103109700
2754,1127112.527900000102818,1691197.949100000085309,1127612.527900000102818,1690697.949100000085309,"26",Busan,何魂堡开矫,128.8991938000,35.2058037500
2755,1127112.527900000102818,1690697.949100000085309,1127612.527900000102818,1690197.949100000085309,"26",Busan,何魂堡开矫,128.8991165000,35.2012965300
2756,1127112.527900000102818,1690197.949100000085309,1127612.527900000102818,1689697.949100000085309,"26",Busan,何魂堡开矫,128.8990392000,35.1967893000
2757,1127112.527900000102818,1689697.949100000085309,1127612.527900000102818,1689197.949100000085309,"26",Busan,何魂堡开矫,128.8989619000,35.1922820800
2758,1127112.527900000102818,1689197.949100000085309,1127612.527900000102818,1688697.949100000085309,"26",Busan,何魂堡开矫,128.8988846000,35.1877748400
