gid,lbl,val,lon,lat,����ȸ����,�ְ�����
마라3588,"12582.00",12582.0000000000000000000000000000000,128.9881628000,35.1826717300,0.000000000000000,288.000000000000000
마마5004,"9.00",9.0000000000000000000000000000000,129.1557767000,35.3247485900,0.000000000000000,2.000000000000000
마라1972,"128.00",128.0000000000000000000000000000000,128.8101713000,35.0404647900,0.000000000000000,140.000000000000000
마라4885,"7888.00",7888.0000000000000000000000000000000,129.1303494000,35.1537929800,0.000000000000000,63.000000000000000
마라3585,"8842.00",8842.0000000000000000000000000000000,128.9876700000,35.1556293100,0.000000000000000,577.000000000000000
마라5190,"17.00",17.0000000000000000000000000000000,129.1641919000,35.1984122000,0.000000000000000,0.000000000000000
마마6204,"536.00",536.0000000000000000000000000000000,129.2877436000,35.3228688300,0.000000000000000,200.000000000000000
마마4501,"86.00",86.0000000000000000000000000000000,129.1002542000,35.2984489900,0.000000000000000,28.000000000000000
마라3183,"230.00",230.0000000000000000000000000000000,128.9434477000,35.1381318400,0.000000000000000,289.000000000000000
마마4806,N/A,0.0000000000000000000000000000000,129.1341440000,35.3430744200,0.000000000000000,0.000000000000000
마라3184,"399.00",399.0000000000000000000000000000000,128.9436069000,35.1471462000,0.000000000000000,415.000000000000000
마라4480,"4753.00",4753.0000000000000000000000000000000,129.0855753000,35.1093069900,0.000000000000000,322.000000000000000
마라2690,"145.00",145.0000000000000000000000000000000,128.8896518000,35.2018748100,0.000000000000000,115.000000000000000
마라2380,"62.00",62.0000000000000000000000000000000,128.8552079000,35.1121017600,0.000000000000000,36.000000000000000
마마6009,"189.00",189.0000000000000000000000000000000,129.2667312000,35.3682552600,0.000000000000000,151.000000000000000
마라2483,"13.00",13.0000000000000000000000000000000,128.8666302000,35.1390226500,0.000000000000000,1.000000000000000
마라4886,"8001.00",8001.0000000000000000000000000000000,129.1305293000,35.1628065300,0.000000000000000,212.000000000000000
마라4290,"28156.00",28156.0000000000000000000000000000000,129.0653629000,35.1997304100,0.000000000000000,1811.000000000000000
마라4692,"11152.00",11152.0000000000018189894035458564758,129.1096436000,35.2171816200,0.000000000000000,1335.000000000000000
마마6105,"793.00",793.0000000000000000000000000000000,129.2769441000,35.3320435800,0.000000000000000,256.000000000000000
마라3884,"20796.00",20796.0000000000000000000000000000000,129.0204295000,35.1462064200,0.000000000000000,1180.000000000000000
마라4590,"19653.00",19653.0000000000000000000000000000000,129.0983066000,35.1992999600,0.000000000000000,1644.000000000000000
마라2176,"8.00",8.0000000000000000000000000000000,128.8326796000,35.0762856900,0.000000000000000,13.000000000000000
마마5801,"8.00",8.0000000000000000000000000000000,129.2431757000,35.2964730300,0.000000000000000,2.000000000000000
마라3779,"9387.00",9387.0000000000000000000000000000000,129.0086236000,35.1012730500,0.000000000000000,2730.000000000000000
마라4598,"58.00",58.0000000000000000000000000000000,129.0997221000,35.2714085200,0.000000000000000,18.000000000000000
마라3488,"116.00",116.0000000000000000000000000000000,128.9771833000,35.1828061700,0.000000000000000,0.000000000000000
마라3784,"13499.00",13499.0000000000000000000000000000000,129.0094550000,35.1463436500,0.000000000000000,1177.000000000000000
마라5999,"6.00",6.0000000000000000000000000000000,129.2537802000,35.2782884900,0.000000000000000,2.000000000000000
마라4375,"417.00",417.0000000000000000000000000000000,129.0737400000,35.0643805000,0.000000000000000,238.000000000000000
마라4891,"2001.00",2001.0000000000000000000000000000000,129.1314300000,35.2078740400,0.000000000000000,391.000000000000000
마라2889,"282.00",282.0000000000000000000000000000000,128.9114607000,35.1926062900,0.000000000000000,222.000000000000000
마라1970,"31.00",31.0000000000000000000000000000000,128.8098836000,35.0224347300,0.000000000000000,23.000000000000000
마라5699,"30.00",30.0000000000000000000000000000000,129.2208071000,35.2787621400,0.000000000000000,34.000000000000000
마라3291,"160.00",159.9999999999999715782905695959926,128.9557065000,35.2101147400,0.000000000000000,80.000000000000000
마라2684,"240.00",240.0000000000000000000000000000000,128.8887315000,35.1477876700,0.000000000000000,122.000000000000000
마라4191,"4066.00",4066.0000000000000000000000000000000,129.0545534000,35.2088857100,0.000000000000000,87.000000000000000
마라3081,"93.00",93.0000000000000000000000000000000,128.9321583000,35.1202332300,0.000000000000000,39.000000000000000
마라5196,"8.00",8.0000000000000000000000000000000,129.1652968000,35.2524919300,0.000000000000000,0.000000000000000
